COURSE,MAPPED BY,DEPARTMENT,COURSE NAME,COMPETENCY CLASS,REASONING & INTERPRETATION,COMPLEX PROBLEM SOLVING & DECISION MAKING,CREATIVE THINKING,EFFECTIVE COMMUNICATION,FUTURE INTELLIGENCE,BUILDING & MANAGING RELATIONSHIPS,FOSTERING EFFECTIVE COLLABORATION,SOCIAL & INTERPERSONAL COMMUNICATION,DIGITAL FLUENCY,PROTOTYPING & DESING,"CULTURE, IDENTITY & SOCIETY",BUSINESS & SOCIETY,"SCIENCE, TECHNOLOGY & SOCIETY",SELF AWARENESS & SELF MANAGEMENT,RESILIENCE & GRIT,INQUISITIVE SPIRIT,ETHICS & VALUES,COURSE COMMENTS
AENG 221/1511,,,Free-Hand Representation for Architects,,,,"Visual Thinking,Concept Design","Visual Communication,Oral Communication",,,,Storytelling,,"Physical Prototyping,Digital Design",Arts & Culture,,,"Self Confidence & Self Efficacy,Self Reflection,Self Motivation",Adaptability & Versatility,"Critical Observation,Diligence",,
ARCH 428/3311,,,Building Finishes and Construction Details,,"Information Literacy,Logical Reasoning,Interpretation & Sense Making","Creating & Making Choices,Needs Analysis,Investigative Research",Visual Thinking,"Oral Communication,Critical Writing,Technical Writing",,,Collaborative Teamwork,,"Media & Digital Literacy,Computing & Leveraging Technology","Data Visualization,Digital Design",,,,,,Diligence,,
ARCH 429/4312,,,Design Development and Construction Documents,,"Critical Reading,Information Literacy",Strategic Thinking,"Visual Thinking,Concept Design","Technical Writing,Oral Communication",Vision Building,Active Listening,,,"Media & Digital Literacy,Computing & Leveraging Technology,Digital Citizenship","Data Visualization,Digital Design",,,,Self Discipline & Regulation,,,,
ARCH 4541,,,Introduction of Interior Design - Design Studio,,,"Creating & Making Choices,Needs Analysis","Visual Thinking,Design Thinking,Divergent & Lateral Thinking","Visual Communication,Oral Communication",,,,,Computing & Leveraging Technology,"Physical Prototyping,Digital Prototyping","""History, Culture & Identity"",Individuals & Society,Arts & Culture,Human Behavior & Psychology",,,Self Reflection,,Critical Observation,,
,,,,,,,,,,,,,,,,,,,,,,
ARCH 273/1521,,,Digital Representation Tools for Architects,,,,Visual Thinking,Visual Communication,,,,,Computing & Leveraging Technology,"Digital Prototyping,Digital Design",,,,Self Motivation,,"Diligence,Bias Towards Experimentation",,
ARCH 351/2552,,,Architectural Design Studio I,,"Critical Reading,Analysis Evaluation & Synthesis,Logical Reasoning,Interpretation & Sense Making","Creating & Making Choices,Needs Analysis,Agile Thinking","Visual Thinking,Concept Design,Design Thinking","Critical Writing,Visual Communication,Oral Communication",Scenario Development,Empathy,,,,"Digital Design,Physical Prototyping","Human Behavior & Psychology,Individuals & Society",,,"Self Discipline & Regulation,Self Reflection","Adaptability & Versatility,Mental Flexibility",Diligence,,
ARCH 473/3522,,,Digital Design Studio and Workshop,,"Analysis Evaluation & Synthesis,Critical Reading","Quantitative Reasoning & Data Analysis,Creating & Making Choices,Problem Deconstruction,Agile Thinking","Visual Thinking,Divergent & Lateral Thinking,Concept Design","Visual Communication,Technical Writing,Oral Communication",,,Collaborative Teamwork,Public Speaking & Audience Engagement,"Computing & Leveraging Technology,Media & Digital Literacy","Digital Design,Digital Prototyping,Physical Prototyping",,,"Sustainability & Environmental Literacy,Emerging Technology & Society",Self Confidence & Self Efficacy,Adaptability & Versatility,Bias Towards Experimentation,,
ARCH 3554,,,Sustainability in Architectural Design,,"Analysis Evaluation & Synthesis,Critical Reading,Logical Reasoning","Creating & Making Choices,Needs Analysis","Visual Thinking,Concept Design,Design Thinking","Technical Writing,Visual Communication,Critical Writing","Vision Building,Scenario Development",,Fostering Inclusiveness,,,"Digital Design,Digital Prototyping,Physical Prototyping","Individuals & Society,Human Behavior & Psychology",,Sustainability & Environmental Literacy,"Self Reflection,Self Discipline & Regulation",,"Diligence,Critical Observation",Sensitivity & Compassion,
ARCH 3950,,,Internship in Construction Projects,,"Scientific Reasoning,Logical Reasoning,Analysis Evaluation & Synthesis,Interpretation & Sense Making",,,"Technical Writing,Oral Communication,Critical Writing",,Networking & Co-Creation,Conflict Management & Resolution,Community Engagement,,,,,,"Self Motivation,Self Reflection,Self Discipline & Regulation,Self Confidence & Self Efficacy,Focus & Time Management","Adaptability & Versatility,Coping with Stress","Diligence,Perspective Taking",Tolerance,
,,,,,,,,,,,,,,,,,,,,,,
